seed,pair_id,modality,corruption_type,severity,ssim,psnr,damage_ssim,norm_edit_distance,bleu,damage_bleu
0,15,image,gaussian_noise,5,0.09938177860573276,13.652276497325374,0.9006182213942673,,,
0,16,image,gaussian_noise,1,0.6458710389492529,31.69795370973893,0.3541289610507471,,,
0,16,image,gaussian_noise,2,0.34164986886108,25.805049184309514,0.6583501311389199,,,
0,16,image,gaussian_noise,3,0.2068073570230017,22.34649857014627,0.7931926429769983,,,
0,16,image,gaussian_noise,4,0.10343067274805524,18.080611041975857,0.8965693272519447,,,
0,16,image,gaussian_noise,5,0.052012956028130865,14.257797354536791,0.9479870439718692,,,
0,17,image,gaussian_noise,1,0.7797744243991943,30.47142818404108,0.2202255756008057,,,
0,17,image,gaussian_noise,2,0.5371308238204207,24.700422198871014,0.46286917617957934,,,
0,17,image,gaussian_noise,3,0.3840947976701968,21.385621783433326,0.6159052023298033,,,
0,17,image,gaussian_noise,4,0.2238323544706687,17.371066286986775,0.7761676455293313,,,
0,17,image,gaussian_noise,5,0.12252596962455224,13.808635033405388,0.8774740303754478,,,
0,18,image,gaussian_noise,1,0.7917101314071168,30.398274255032064,0.20828986859288323,,,
0,18,image,gaussian_noise,2,0.5601894030998444,24.61332712751505,0.43981059690015556,,,
0,18,image,gaussian_noise,3,0.41794718820749227,21.294048783041852,0.5820528117925077,,,
0,18,image,gaussian_noise,4,0.266540636183286,17.221593842282,0.733459363816714,,,
0,18,image,gaussian_noise,5,0.16338565639654865,13.642566004481836,0.8366143436034513,,,
0,19,image,gaussian_noise,1,0.8451012024789972,30.098034043597924,0.15489879752100277,,,
0,19,image,gaussian_noise,2,0.6187357347387185,24.161147347662983,0.38126426526128154,,,
0,19,image,gaussian_noise,3,0.45330660904179965,20.743643905655215,0.5466933909582004,,,
0,19,image,gaussian_noise,4,0.26629552794544653,16.641471174342033,0.7337044720545535,,,
0,19,image,gaussian_noise,5,0.14609726017516053,13.177244645119487,0.8539027398248394,,,
0,20,image,gaussian_noise,1,0.7206474205273746,30.269387673534048,0.2793525794726254,,,
0,20,image,gaussian_noise,2,0.4841956495222735,24.460101475136007,0.5158043504777265,,,
0,20,image,gaussian_noise,3,0.3570973786618135,21.102008305502657,0.6429026213381865,,,
0,20,image,gaussian_noise,4,0.22632263740764436,16.902812509942883,0.7736773625923556,,,
0,20,image,gaussian_noise,5,0.139499843490789,13.308337829486938,0.860500156509211,,,
0,21,image,gaussian_noise,1,0.6812427547953964,30.07507082381513,0.3187572452046036,,,
0,21,image,gaussian_noise,2,0.4095760741281178,24.110436134627378,0.5904239258718822,,,
0,21,image,gaussian_noise,3,0.27365363374401314,20.620234639565467,0.7263463662559868,,,
0,21,image,gaussian_noise,4,0.14949605319411893,16.34276573744607,0.850503946805881,,,
0,21,image,gaussian_noise,5,0.07896834858014111,12.76760232174506,0.9210316514198589,,,
0,22,image,gaussian_noise,1,0.8898585993792917,30.081701834865317,0.11014140062070832,,,
0,22,image,gaussian_noise,2,0.7348601995605218,24.139199438646507,0.26513980043947816,,,
0,22,image,gaussian_noise,3,0.6110896643507796,20.716564670592714,0.3889103356492204,,,
0,22,image,gaussian_noise,4,0.4391115929364318,16.614561455119805,0.5608884070635682,,,
0,22,image,gaussian_noise,5,0.2876921949377203,13.12451829589773,0.7123078050622798,,,
0,23,image,gaussian_noise,1,0.7138512691724336,30.170737410098255,0.2861487308275664,,,
0,23,image,gaussian_noise,2,0.4567252986641613,24.231381894699194,0.5432747013358388,,,
0,23,image,gaussian_noise,3,0.32730055898995325,20.807896543726528,0.6726994410100468,,,
0,23,image,gaussian_noise,4,0.20368527409482742,16.614311454615923,0.7963147259051726,,,
0,23,image,gaussian_noise,5,0.1245860362734396,13.070763325024792,0.8754139637265604,,,
0,24,image,gaussian_noise,1,0.6515493684519934,30.18419124230317,0.3484506315480066,,,
0,24,image,gaussian_noise,2,0.3851095488331569,24.285395493441015,0.6148904511668432,,,
0,24,image,gaussian_noise,3,0.25610515158100516,20.859183570684664,0.7438948484189949,,,
0,24,image,gaussian_noise,4,0.13923994992644387,16.651994064492104,0.8607600500735562,,,
0,24,image,gaussian_noise,5,0.07407057859340267,13.094805444714062,0.9259294214065973,,,
0,25,image,gaussian_noise,1,0.6330358598488264,30.048241220515557,0.3669641401511736,,,
0,25,image,gaussian_noise,2,0.3383587582678536,24.043372660548126,0.6616412417321464,,,
0,25,image,gaussian_noise,3,0.20438728730171388,20.535389366888094,0.7956127126982862,,,
0,25,image,gaussian_noise,4,0.0990277363741681,16.286462610787382,0.9009722636258319,,,
0,25,image,gaussian_noise,5,0.049519662897006184,12.819551700871571,0.9504803371029938,,,
0,26,image,gaussian_noise,1,0.7357751202782011,30.695970255935798,0.26422487972179887,,,
0,26,image,gaussian_noise,2,0.4898246925731424,24.940395134208764,0.5101753074268576,,,
0,26,image,gaussian_noise,3,0.35365789628054584,21.591129895765256,0.6463421037194541,,,
0,26,image,gaussian_noise,4,0.21859982758333438,17.479855660977652,0.7814001724166656,,,
0,26,image,gaussian_noise,5,0.1308806245340908,13.857931830911923,0.8691193754659092,,,
0,27,image,gaussian_noise,1,0.6318243654128523,30.16388467013809,0.36817563458714775,,,
0,27,image,gaussian_noise,2,0.34564925992283385,24.237854548377566,0.6543507400771662,,,
0,27,image,gaussian_noise,3,0.21983036339975548,20.7956697766072,0.7801696366002445,,,
0,27,image,gaussian_noise,4,0.11814585473431953,16.584944653830053,0.8818541452656805,,,
0,27,image,gaussian_noise,5,0.0639874902796206,13.03240846731088,0.9360125097203794,,,
0,28,image,gaussian_noise,1,0.5894454894261189,30.059047739031598,0.41055451057388115,,,
0,28,image,gaussian_noise,2,0.2978861834499138,24.058009418721166,0.7021138165500862,,,
0,28,image,gaussian_noise,3,0.1814250383072392,20.572374173762228,0.8185749616927608,,,
0,28,image,gaussian_noise,4,0.09583018119164087,16.394764427836947,0.9041698188083591,,,
0,28,image,gaussian_noise,5,0.05478239347296365,13.027881174130563,0.9452176065270363,,,
0,29,image,gaussian_noise,1,0.648710040713888,30.08656921061477,0.35128995928611195,,,
0,29,image,gaussian_noise,2,0.4008284500045838,24.195065231286996,0.5991715499954162,,,
