
==============================================================================
1. INPUT-SIDE DAMAGE TABLE (model-independent)
==============================================================================
Per (modality, corruption_type, severity): mean damage with bootstrap 95% CI, n pairs.

modality corruption_type  severity             metric    mean   ci_lo   ci_hi   n
quintiles, i.e. (image - text) > 0 in matched quintiles.

--- Condition-to-quintile mapping (sanity check, seed 0 only for compactness) ---

IMAGE-side: damage_ssim quintile distribution by condition:
quintile                          Q1 (mildest)    Q2    Q3    Q4  Q5 (most damaged)
vision_corruption image_severity                                                   
cutout            1                       1500     0     0     0                  0
                  2                        900   600     0     0                  0
                  3                          0  1500     0     0                  0
                  4                          0    10  1490     0                  0
                  5                          0     0    20  1480                  0
gaussian_blur     1                       1500     0     0     0                  0
                  2                        415   825   250    10                  0
                  3                         30   465   580   385                 40
                  4                         15   160   570   510                245
                  5                         15    85   445   575                380
gaussian_noise    1                        125   730   620    25                  0
                  2                          0   105   360   835                200
                  3                          0    20   145   490                845
                  4                          0     0    20   170               1310
                  5                          0     0     0    20               1480

TEXT-side: damage_bleu quintile distribution by condition:
quintile                       Q1 (mildest)   Q2   Q3   Q4  Q5 (most damaged)
text_corruption text_severity                                                
mask            1                      1275  225    0    0                  0
                2                       260  940  290   10                  0
                3                         0  100  880  510                 10
                4                         0    0   75  660                765
                5                         0    0    0    0               1500
replace         1                      1030  470    0    0                  0
                2                       170  945  375   10                  0
                3                         0  110  900  490                  0
                4                         0    0  210  945                345
                5                         0    0    0  140               1360
shuffle         1                       845  500  145   10                  0
                2                       865  470  150   15                  0
                3                       160  515  640  185                  0
                4                        20  110  690  625                 55
                5                         0   25  210  875                390

--- Per-model retention_margin within matched quintiles (3-seed pooled) ---
Lower retention_margin = worse coherence under that level of damage.
               model          quintile  image_n  image_mean  image_ci_lo  image_ci_hi  text_n  text_mean  text_ci_lo  text_ci_hi  diff_image_minus_text  diff_ci_lo  diff_ci_hi  image_minus_text_>0  diff_significant
     openai_clip_b32      Q1 (mildest)     2700      0.1495       0.1481       0.1507    2740     0.1440      0.1423      0.1455                 0.0055      0.0034      0.0076                 True              True
     openai_clip_b32                Q2     2700      0.1406       0.1394       0.1420    2663     0.1313      0.1295      0.1328                 0.0093      0.0072      0.0115                 True              True
     openai_clip_b32                Q3     2700      0.1287       0.1272       0.1303    2709     0.1094      0.1077      0.1111                 0.0193      0.0167      0.0216                 True              True
     openai_clip_b32                Q4     2700      0.1197       0.1180       0.1215    2725     0.0876      0.0857      0.0896                 0.0321      0.0294      0.0347                 True              True
     openai_clip_b32 Q5 (most damaged)     2700      0.1422       0.1409       0.1436    2663     0.0467      0.0450      0.0486                 0.0955      0.0931      0.0976                 True              True
     openai_clip_l14      Q1 (mildest)     2700      0.1651       0.1637       0.1665    2740     0.1608      0.1589      0.1625                 0.0043      0.0020      0.0067                 True              True
     openai_clip_l14                Q2     2700      0.1567       0.1552       0.1582    2663     0.1459      0.1439      0.1477                 0.0108      0.0085      0.0132                 True              True
     openai_clip_l14                Q3     2700      0.1495       0.1478       0.1511    2709     0.1235      0.1215      0.1253                 0.0261      0.0233      0.0285                 True              True
     openai_clip_l14                Q4     2700      0.1441       0.1422       0.1459    2725     0.0975      0.0954      0.0998                 0.0466      0.0436      0.0495                 True              True
     openai_clip_l14 Q5 (most damaged)     2700      0.1641       0.1627       0.1656    2663     0.0530      0.0510      0.0552                 0.1110      0.1085      0.1136                 True              True
openclip_l14_laion2b      Q1 (mildest)     2700      0.2736       0.2715       0.2755    2740     0.2644      0.2620      0.2666                 0.0092      0.0061      0.0123                 True              True
openclip_l14_laion2b                Q2     2700      0.2622       0.2599       0.2643    2663     0.2472      0.2446      0.2497                 0.0150      0.0118      0.0183                 True              True
openclip_l14_laion2b                Q3     2700      0.2498       0.2470       0.2523    2709     0.2105      0.2075      0.2133                 0.0393      0.0352      0.0429                 True              True
