model,metric,vision_corruption,image_severity,text_corruption,text_severity,seed_a,seed_b,spearman_rho,p,n
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,shuffle,2,0,1,0.05625607394521919,0.07537814947525666,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,shuffle,2,0,2,-0.025855020852372044,0.4140876133366271,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,shuffle,2,1,2,-0.03185510527592574,0.31425090923795646,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,shuffle,3,0,1,-0.0038072268076700094,0.904289120536034,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,shuffle,3,0,2,-0.0033282634061825174,0.9162825062664887,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,shuffle,3,1,2,0.005429790385751396,0.86383726814456,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,shuffle,4,0,1,-0.0014329921970897995,0.9639012348266746,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,shuffle,4,0,2,-0.03454151643834518,0.27515931206103345,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,shuffle,4,1,2,0.045833034764540266,0.14752863780626632,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,shuffle,5,0,1,0.05277731680749145,0.09530768876167296,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,shuffle,5,0,2,0.024128054112219157,0.44596885870561487,1000
openai_clip_l14,per_pair_recall_at_1_t2i,none,0,shuffle,5,1,2,-0.03300231851240572,0.29713189053944467,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,cutout,1,none,0,0,1,0.005555858442822376,0.860707761664781,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,cutout,1,none,0,0,2,-0.024852251758051138,0.4324327450609988,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,cutout,1,none,0,1,2,-0.048108270367827624,0.1284369359627735,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,cutout,2,none,0,0,1,0.06293304683816042,0.04663490205538571,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,cutout,2,none,0,0,2,-0.047709263126110076,0.1316387557817504,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,cutout,2,none,0,1,2,-0.03443546324490474,0.2766367637390253,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,cutout,3,none,0,0,1,-0.040564827357677656,0.19994943451032562,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,cutout,3,none,0,0,2,0.003964650253397405,0.9003518108909185,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,cutout,3,none,0,1,2,-0.02807269167506195,0.3751860924561138,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,cutout,4,none,0,0,1,0.01801036884474028,0.5694432267179254,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,cutout,4,none,0,0,2,-0.046811628160260854,0.13906731731728472,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,cutout,4,none,0,1,2,0.020323538568608447,0.520906166706211,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,cutout,5,none,0,0,1,0.06051667140411106,0.05573970198665883,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,cutout,5,none,0,0,2,0.03616145351138187,0.25325912554272617,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,cutout,5,none,0,1,2,-0.015916242829769778,0.6151624629079785,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_blur,1,none,0,0,1,-0.013610914817768577,0.6672709291286316,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_blur,1,none,0,0,2,-0.014051252522024413,0.6571830060175337,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_blur,1,none,0,1,2,-0.009941057121447818,0.7535374398304564,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_blur,2,none,0,0,1,0.008146135990674978,0.7969583714171239,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_blur,2,none,0,0,2,0.005142495861478099,0.8709769493014482,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_blur,2,none,0,1,2,-0.020541184785252065,0.5164512868558593,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_blur,3,none,0,0,1,0.0111174122445889,0.7254873807640665,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_blur,3,none,0,0,2,0.03304989806605883,0.2964356041852192,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_blur,3,none,0,1,2,-0.022054822365131226,0.4860236348694296,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_blur,4,none,0,0,1,0.013035537172757763,0.6805433436196359,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_blur,4,none,0,0,2,0.002942301021156329,0.9259611128122991,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_blur,4,none,0,1,2,-0.01404537988035728,0.6573171410183021,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_blur,5,none,0,0,1,-0.014625572700884664,0.6441189940397924,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_blur,5,none,0,0,2,-0.02419228091082324,0.4447587312507888,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_blur,5,none,0,1,2,-0.006149176659177947,0.8460093637764182,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_noise,1,none,0,0,1,-0.0054941908316835505,0.8622383253292883,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_noise,1,none,0,0,2,-0.00941891597779081,0.766095231636092,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_noise,1,none,0,1,2,0.011828890934352545,0.7086962795113959,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_noise,2,none,0,0,1,0.006951193275145684,0.8262264986598603,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_noise,2,none,0,0,2,0.006119079155232318,0.8467537337080481,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_noise,2,none,0,1,2,0.018655614992153857,0.5556897089009089,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_noise,3,none,0,0,1,-0.00635489780572869,0.8409251864990868,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_noise,3,none,0,0,2,-0.0036689480069166986,0.9077495472690985,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_noise,3,none,0,1,2,0.009817448772186939,0.7565045546344373,1000
openclip_l14_laion2b,per_pair_recall_at_1_i2t,gaussian_noise,4,none,0,0,1,-0.009065223310411904,0.7746369671462909,1000
