model,n_text_layers,layer_index,layer_fraction,n_captions,mean_cosine_clean_vs_mask_sev2,min_cosine,max_cosine
pecore_l14_336,24,1,0.08333333333333333,24,0.9872450679540634,0.9577105045318604,0.9979972243309021
pecore_l14_336,24,2,0.125,24,0.9880411028862,0.9656961560249329,0.9978969097137451
pecore_l14_336,24,3,0.16666666666666666,24,0.9863441661000252,0.9657657146453857,0.9947122931480408
pecore_l14_336,24,4,0.20833333333333334,24,0.983328620592753,0.9669004082679749,0.9936118125915527
pecore_l14_336,24,5,0.25,24,0.9778203144669533,0.9526760578155518,0.9921510219573975
pecore_l14_336,24,6,0.2916666666666667,24,0.9770577450593313,0.9529383182525635,0.9906477332115173
pecore_l14_336,24,7,0.3333333333333333,24,0.9703428993622462,0.9428329467773438,0.9890419244766235
pecore_l14_336,24,8,0.375,24,0.9690998171766599,0.9389274716377258,0.9875025749206543
pecore_l14_336,24,9,0.4166666666666667,24,0.9717701201637586,0.9469650983810425,0.9888273477554321
pecore_l14_336,24,10,0.4583333333333333,24,0.9724766090512276,0.9450640082359314,0.9889739155769348
pecore_l14_336,24,11,0.5,24,0.9755206257104874,0.9501838684082031,0.9904314875602722
pecore_l14_336,24,12,0.5416666666666666,24,0.9759557470679283,0.9481405019760132,0.9904975891113281
pecore_l14_336,24,13,0.5833333333333334,24,0.9791897137959799,0.9528758525848389,0.9920628070831299
pecore_l14_336,24,14,0.625,24,0.9813271338740984,0.9590931534767151,0.9930453896522522
pecore_l14_336,24,15,0.6666666666666666,24,0.9849240109324455,0.9672260284423828,0.9947097301483154
pecore_l14_336,24,16,0.7083333333333334,24,0.9876423999667168,0.9736577868461609,0.995725154876709
pecore_l14_336,24,17,0.75,24,0.9884780297676722,0.9770179986953735,0.9963502287864685
pecore_l14_336,24,18,0.7916666666666666,24,0.988109715282917,0.9720476865768433,0.9965230226516724
pecore_l14_336,24,19,0.8333333333333334,24,0.9887919972340266,0.9741671085357666,0.9973639249801636
pecore_l14_336,24,20,0.875,24,0.9897628153363863,0.9761768579483032,0.9979771971702576
pecore_l14_336,24,21,0.9166666666666666,24,0.9892726689577103,0.9780107736587524,0.998178243637085
pecore_l14_336,24,22,0.9583333333333334,24,0.9802340989311537,0.9550443887710571,0.9979069232940674
pecore_l14_336,24,23,1.0,24,0.9519722138841947,0.8907091617584229,0.9949350953102112
